DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,MinDepth,MinAccuracy,MinSource,MaxDepth,MaxAccuracy,MaxSource
141259,141259,,MiniPAT,00:00:00 18-Dec-2015,,,,0.000000,4.000000,PDT,480.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 19-Dec-2015,,,,0.000000,4.000000,PDT,408.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 20-Dec-2015,,,,0.000000,0.500000,TAD,496.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 21-Dec-2015,,,,0.000000,0.500000,TAD,648.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 22-Dec-2015,,,,16.000000,16.000000,LightLoc,455.250000,37.000000,TimeSeries
141259,141259,,MiniPAT,00:00:00 23-Dec-2015,,,,16.000000,16.000000,LightLoc,336.000000,16.000000,LightLoc
141259,141259,,MiniPAT,00:00:00 24-Dec-2015,,,,0.000000,4.000000,PDT,480.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 25-Dec-2015,,,,0.000000,0.500000,TAD,488.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 26-Dec-2015,,,,0.000000,0.500000,TAD,624.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 27-Dec-2015,,,,0.000000,0.500000,TAD,336.000000,16.000000,LightLoc
141259,141259,,MiniPAT,00:00:00 28-Dec-2015,,,,1.625000,1.625000,TimeSeries,500.750000,43.500000,TimeSeries
141259,141259,,MiniPAT,00:00:00 29-Dec-2015,,,,8.000000,4.000000,PDT,432.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 30-Dec-2015,,,,16.000000,16.000000,LightLoc,410.500000,33.750000,TimeSeries
141259,141259,,MiniPAT,00:00:00 31-Dec-2015,,,,0.000000,0.500000,TAD,456.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 01-Jan-2016,,,,16.000000,16.000000,LightLoc,546.500000,29.250000,TimeSeries
141259,141259,,MiniPAT,00:00:00 02-Jan-2016,,,,16.000000,16.000000,LightLoc,515.750000,45.500000,TimeSeries
141259,141259,,MiniPAT,00:00:00 03-Jan-2016,,,,6.625000,6.625000,TimeSeries,739.750000,61.500000,TimeSeries
141259,141259,,MiniPAT,00:00:00 04-Jan-2016,,,,0.000000,0.500000,TAD,655.250000,49.000000,TimeSeries
141259,141259,,MiniPAT,00:00:00 05-Jan-2016,,,,0.000000,0.500000,TAD,410.500000,33.750000,TimeSeries
141259,141259,,MiniPAT,00:00:00 06-Jan-2016,,,,0.000000,0.500000,TAD,648.000000,4.000000,PDT
